ID,County,lon,lat,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
40,蔚县,113.9758094,41.08221564,0.017709924,0.583254655,0.010325407,0.555293222,0.006021505,0.000957535,0.342857143,2.631578947,1.25,0.56313473
41,阳原县,114.1575241,40.10958839,1.667268721,1.65017138,1.63307404,1.615976699,1.598879358,1.581782018,1.587221218,1.583127141,1.579033063,1.574938985
42,怀安县,114.7474258,40.77314965,2.001221964,1.973575923,1.945929882,1.918283841,1.8906378,1.862991758,1.826905805,1.801685476,1.776465147,1.751244818
43,万全县,114.3924691,40.68036934,2.540352408,2.483035042,2.425717676,0.039640131,2.311082943,2.253765577,1.529994268,1.340206186,1.170212766,1.164632405
44,赤城县,115.8385059,40.91876122,0.00268414,0.561300152,0.003240741,0.503913631,0.002925073,0.446527111,0.122589539,0.061229481,0.227436967,0.172141634
45,崇礼县,115.2895493,40.98047789,0.13021518,0.569191674,0.061014572,0.465964747,0.022964341,0.116129032,2.379587156,2.094412331,2.549707602,2.250636132
46,平泉县,118.7074267,41.02375563,0.021970185,0.900781241,0.628494955,0.356208669,0.000472986,0.001183165,5.333333333,0.769145775,0.656628008,0.544110241
47,宽城满族自治县,118.4915944,40.61715151,3.317161543,3.373335557,3.429509571,3.485683585,3.541857599,3.598031613,3.414462282,3.444112005,3.473761728,3.503411451
48,沧州市,116.8455808,38.31021514,4.365890509,4.46673852,4.567586532,4.668434544,4.769282556,4.870130568,3.702839269,3.707576858,3.745229244,4.263701419
49,沧县,116.8843978,38.29945274,3.976197035,4.092590695,4.208984354,4.325378014,4.441771673,4.558165333,4.52852892,4.552039442,4.573791234,4.76433181
50,东光县,117.504418,38.14940252,5.84102091,4.056752332,4.437144378,1.691404036,5.072142385,5.495025934,6.524587714,6.699752842,6.728081511,5.617822817
51,海兴县,117.2374136,38.0643184,1.385219664,1.225161612,1.065103559,0.905045506,0.744987453,0.5849294,3.161687693,3.230446005,3.449958099,1.725806408
52,盐山县,115.8365177,38.42890592,3.091733618,4.411385032,4.546777672,4.682170312,5.232308278,4.843141023,4.267367519,4.306914547,4.3274983,4.754270981
53,肃宁县,116.5434096,37.89451391,6.232938789,6.421075993,6.609213197,6.797350401,6.985487605,7.173624809,6.11940975,6.122027972,6.144473008,4.514153592
54,南皮县,116.7156012,38.04518789,4.421272494,5.717968029,4.960848775,6.088833097,6.829066986,7.495116141,5.853508065,5.930470431,5.955282555,5.10210861
55,吴桥县,116.3973921,37.63390876,3.002769124,3.251294467,1.22060505,8.819260766,1.16408989,1.137817744,6.720592134,6.906726169,6.95790546,5.570786691
56,献县,117.3364811,38.3774939,4.211825706,4.339742795,4.467659884,4.595576973,4.723494063,4.851411152,5.325150682,5.515117092,5.552412545,4.729742226
57,孟村回族自治县,116.1056281,38.45135652,2.647054203,5.212409837,5.286069652,5.853621215,6.341800247,6.760359281,4.297264163,4.317616936,4.514969642,2.430997877
58,任丘市,117.1104361,38.05983913,4.831225923,4.889141466,4.947057008,5.004972551,5.062888093,5.120803636,5.739860097,5.777392851,5.79748954,7.708503871
59,黄骅市,116.12956,38.19598144,2.389232052,2.420518031,2.451804011,2.48308999,2.51437597,2.545661949,3.117555232,3.129999217,3.190038314,7.733473125
60,河间市,116.30542,39.44448486,5.063204593,5.237544962,5.411885331,5.586225701,5.76056607,5.934906439,5.814936511,5.843501399,5.868008048,7.736999309
61,固安县,116.0912782,38.69203213,7.115109857,7.30499636,7.494882863,7.684769366,7.874655869,8.064542371,7.998838401,5.944116609,5.978826979,3.036300778
62,永清县,116.5054293,39.327853,6.399749764,6.59336854,6.786987317,6.980606094,7.17422487,7.367843647,7.428736386,5.501738698,5.503483607,2.939228032
63,香河县,117.0124021,39.76793919,6.73769689,6.926724971,7.115753052,7.304781133,7.493809214,7.682837296,7.573907826,5.865891742,5.87471374,4.458333333
64,文安县,116.4646095,38.87895049,3.095654762,3.293046194,1.421943844,0.650775779,3.306221323,3.310613033,2.865223673,4.93972295,4.958745476,3.432080287
65,三河市,117.0845879,39.98809955,7.554336931,7.777698468,8.001060005,8.224421542,8.447783079,8.671144615,8.80143665,5.815379665,5.863965382,4.68559633
66,衡水市,115.6754061,37.74519141,3.3119909,4.694157162,3.575896079,11.76287481,3.713084176,2.934231806,6.690011564,6.705008611,6.742425655,4.917100349
67,太原市,113.7554142,40.36739184,5.360035421,5.425549041,5.491062661,5.55657628,5.6220899,5.68760352,5.172727273,5.654255319,5.746627743,3.385511364
68,清徐县,114.0974775,40.4264122,0.44683908,1.530600982,0.357162166,1.041261134,0.246308744,0.133436924,0.267522701,0.028428897,0.210664907,6.058450684
69,阳高县,113.5876167,37.86236085,3.440705017,3.440285328,3.439865638,3.439445949,3.43902626,3.438606571,3.401125137,3.416116304,3.431107472,5.084871795
70,天镇县,112.7094633,40.01962345,1.733316966,1.595758521,1.458200076,1.320641631,1.183083187,1.045524742,1.128945362,1.031749192,0.934553022,5.162967431
71,左云县,112.3645576,37.61306684,1.221156544,1.244498464,1.267840384,1.291182304,1.314524224,1.337866144,1.283843562,1.293693107,1.303542652,6.878996924
72,阳泉市,113.1225589,36.20126837,3.282984167,3.379073322,3.475162476,3.57125163,3.667340784,3.763429938,4.006503703,4.114714343,4.222924982,6.245896871
73,盂县,113.4184205,38.09197963,2.327677329,2.310133642,2.292589954,0.011933174,2.25750258,2.239958893,1.86059224,1.80623957,1.751886899,6.332717937
74,长治市,112.5563915,37.87698903,0.1848836,1.45112101,0.125979444,0.766968165,0.05763874,0.047188734,5.75,5.731343284,5.811735061,6.344896663
75,长治县,113.0574161,36.05928648,0.24444604,1.447438886,0.172784497,6.120955882,0.156138731,0.12605535,5.685019206,6.288428325,5.355008913,6.376508785
76,襄垣县,112.8984748,36.32163084,3.543699912,3.633837557,3.723975203,3.814112848,3.904250493,3.994388138,3.154549831,3.322493225,3.051746393,6.832505695
77,屯留县,113.0574126,36.54168582,0.322855592,1.494884952,0.337087338,0.40141186,0.21166228,0.155587669,3.321624588,3.652421652,3.687451784,6.241604517
78,平顺县,113.442517,36.20598946,0.094256869,1.360534682,1.27610191,0.019552892,0.122716843,0.119779907,3.52173913,4.644478064,1.899752209,6.31511482
79,黎城县,112.705458,36.76218994,5.439487413,5.575399273,5.711311133,5.847222992,5.983134852,6.119046712,2.626345344,3.158196313,2.829299185,6.86845598
80,壶关县,112.8845659,36.12800156,0.277493606,1.389954706,0.269054178,0.361411087,0.257177764,0.22445122,3.624390244,4.123134328,3.720008961,5.761363636
81,长子县,113.3934325,36.5086699,0.492654545,1.648412769,0.528907019,0.781520301,0.589064703,0.304612604,5.710059172,6.19461338,6.226653259,6.06557377
82,沁县,113.2135799,36.1213346,2.055490654,2.570093458,2.04002193,0.385159011,1.769836066,1.21918552,2.558139535,2.724082935,2.845057471,2.01100414
83,潞城市,113.2355785,36.33969127,0.095694276,0.030807899,0.119830585,0.405211025,0.102919601,0.247135076,2.349086045,3.328081557,2.949750039,1.05391816
84,晋城市,112.4214538,35.49218132,3.628557326,3.690609912,3.752662499,3.814715086,3.876767672,3.938820259,3.583877611,3.485998991,2.439600594,3.562104912
85,阳城县,112.4393709,39.33710837,2.671997655,2.71039535,1.674866124,2.78719074,2.825588436,2.863986131,3.41900777,3.388349515,2.840234137,2.996670869
86,陵川县,112.8585782,35.49628459,3.089130435,3.397149707,3.142424242,3.534726798,3.603515343,3.672303888,2.940711462,4.596483909,3.15082715,3.7549191
87,高平市,113.2874066,35.78174364,3.358041298,3.416669881,3.475298464,3.533927048,3.592555631,3.651184214,3.96945293,4.586382585,3.068099431,3.929890432
88,朔州市,112.9304124,35.8043368,0.07207557,1.242356814,0.005239356,0.905317083,0.05875025,0.3525576,0.438874978,0.456747815,0.352147853,0.326732661
89,右玉县,112.4735001,39.99485956,0.817630634,0.826609492,0.83558835,0.844567208,0.853546067,0.862524925,0.780283839,0.779841347,0.779398855,0.778956363
90,晋中市,112.9815986,37.07636967,4.782180413,4.872110038,4.962039664,5.05196929,5.141898915,5.231828541,5.029166667,5.084210526,5.482301452,5.713738997
91,榆社县,112.7595948,37.69283941,2.40515163,3.34289948,4.28064733,5.21839518,6.15614303,7.09389088,1.125,1.1,4.228623021,5.846753731
92,左权县,113.3854518,37.08855515,3.440402812,3.458757693,3.477112573,0.000958084,3.513822334,3.532177215,3.759398496,3.751879699,2.829379117,3.073494935
93,和顺县,113.7136129,37.61788404,3.503863431,3.628547117,3.753230804,3.87791449,4.002598176,4.127281862,4.299001895,4.425285731,4.551569567,3.730973451
94,昔阳县,113.5766057,37.33480774,4.860634539,4.997788284,5.134942028,5.272095773,5.409249518,5.546403262,5.547360096,5.670692476,5.794024856,5.077324716
95,寿阳县,113.1834102,37.90130761,3.36038872,3.49362165,3.626854579,3.760087509,3.893320439,4.026553369,4.511238488,4.683493718,4.855748949,3.360599325
96,太谷县,112.7595948,37.69283941,5.440532921,5.533131866,5.62573081,5.718329754,5.810928699,5.903527643,5.358384745,5.407501589,5.892536627,4.231487534
97,祁县,112.3424424,37.36413128,1.662207804,0.038309859,1.362206098,2.137516301,1.018206495,0.826479625,5.526062121,5.643875232,2.330440644,6.27
98,平遥县,112.1824556,37.19560069,0.996951648,1.709574723,0.521596062,0.496051804,0.160521701,0.126421107,4.148387097,4.499231951,1.691658787,2.531454115
99,灵石县,111.7856179,36.8533675,1.030490405,1.942233942,1.764772727,1.993723597,2.019468424,2.045213251,1.416666667,2.348195329,2.171861517,2.996078431
100,介休市,111.9235632,37.0326864,2.083177395,2.750965251,2.382789063,8.350627138,7.41297685,13.6393925,3.944030356,4.323837,7.59044285,5.267180802
101,运城市,111.0133895,35.03270691,3.325861593,3.332224741,1.556279328,5.708078797,2.204833244,2.747298053,3.800996072,4.794246904,3.702747279,3.581249867
102,临猗县,110.780407,35.14954224,3.812884995,3.840943188,3.869001381,3.897059575,3.925117768,3.953175961,4.329563329,5.012346589,4.35915,3.128325509
103,万荣县,110.8445761,35.4211088,3.256968712,3.002618387,3.5495836,1.568548387,2.647719216,2.576608187,2.181577182,3.21656051,2.6484,4.048987282
104,闻喜县,111.2314104,35.3629312,4.344628579,4.484943287,5.170727969,4.765572703,8.058860759,5.046202118,2.58179182,3.971962617,2.871899725,3.962962963
105,稷山县,110.9894146,35.61040357,4.105834769,4.384615385,5.101684076,4.427451559,4.525869411,5.756411348,3.623113508,4.584296036,4.0419,3.804173142
106,新绛县,111.2314065,35.6226301,4.748968849,4.832433653,4.915898456,4.99936326,5.082828063,5.166292866,3.56737535,4.632970038,4.1337,3.672043011
107,绛县,111.5754865,35.49727637,4.470905781,4.176933609,3.440252815,4.289864893,5.044673694,6.494159163,2.610752983,3.436585706,2.76,4.026020847
108,垣曲县,111.6766067,35.30301452,3.538416932,2.61530849,1.160083801,1.971983837,1.43339124,2.245120968,2.312109693,3.555957846,2.63175,1.900672683
109,夏县,111.2264315,35.14746178,3.369679601,3.382254239,3.394828877,3.407403515,3.419978153,3.432552791,4.616911798,5.36036036,4.80195,4.01190007
110,平陆县,111.2234805,34.84292515,1.554187609,2.051411722,2.023285875,1.995160028,1.006615637,1.090959835,2.518181818,3.362126933,2.649900149,1.619644115
111,芮城县,110.7006115,34.69938811,3.88425247,3.9248219,3.96539133,4.005960761,4.046530191,4.087099622,3.819747306,4.926263934,4.21635,4.040568978
112,永济市,110.4545777,34.87282971,7.896901408,5.452813043,5.844059406,5.651545457,5.750911664,5.850277871,5.161022866,5.870784043,5.3586,5.90952381
113,河津市,110.7185721,35.60192658,4.187500539,4.230078132,4.272655725,4.315233318,4.357810912,4.400388505,4.72162227,5.219895602,5.104950052,4
114,定襄县,112.7174871,38.7364759,3.614608231,3.62153882,3.628469409,3.635399998,3.642330587,3.649261176,3.616941185,3.620523509,3.624105834,3.675922137
115,原平市,112.9635286,38.47997431,0.084183104,1.41252696,0.065263011,6.318924303,0.084336032,0.04841673,3.894366197,4.041860465,4.874830547,4.7775258
116,临汾市,111.4823964,35.64732734,4.15105445,4.214119842,4.277185234,4.340250625,4.403316017,4.466381408,4.584287992,4.7261821,4.115401108,4.580745525
117,曲沃县,111.5255302,36.0937419,4.445590576,4.503884619,4.562178663,4.620472706,4.67876675,4.737060793,4.427450048,5.698586037,4.566902257,3.375679715
118,翼城县,111.7253755,35.74442908,3.406575463,3.677563427,3.31002913,4.914746966,3.489303523,3.717294127,3.999475743,4.462607419,4.068148912,3.00282675
119,襄汾县,111.4485401,35.88206267,4.001708368,4.051267187,4.100826006,4.150384825,4.199943645,4.249502464,4.400222991,5.180288492,4.14810059,5.147682889
120,乡宁县,110.6384159,36.76590867,2.886083893,2.930869891,2.975655888,3.020441886,3.065227883,3.11001388,2.221044417,2.698576168,2.575199254,2.74802038
121,永和县,110.8534979,35.97644167,0.112698974,0.763358104,0.086495583,0.440378328,0.074651585,0.095265344,0.632452048,2.129241877,0.791396104,0.2197769
122,侯马市,111.1504497,37.52449775,1.400154083,1.304571835,1.141232604,1.121200075,9.634009009,1.160576208,4.68260274,5.627607666,4.792497739,9.996486256
123,吕梁市,111.3783966,35.62536482,2.293870917,2.377003261,2.460135606,1.756126482,2.626400295,2.70953264,2.989139579,3.089093775,3.189047972,3.289002169
124,文水县,112.0355987,37.44430008,4.008047719,3.986759415,4.198475967,3.944182807,4.602113821,2.747985696,4.234206151,3.827283538,3.805566111,3.783848685
125,交城县,112.1625677,37.55777224,0.366645797,0.808033035,0.310377744,0.237898419,0.176038685,0.33931212,4.521367521,0.13330673,0.122552638,0.073693192
126,柳林县,110.8953898,37.43549296,5.5,2.190694196,4.7,1.703432494,0.031578947,0.039578947,2.075826942,2.146145777,2.216464611,4.710952946
127,石楼县,110.8415955,37.0044705,0.686545624,0.690220336,0.264075735,0.69756976,0.701244471,0.704919183,1.251712329,1.304189435,0.887410924,5.394511251
128,中阳县,111.1856296,37.36287279,1.26536365,1.298137804,1.330911958,3.284519857,1.396460265,1.429234419,1.701275713,1.760643535,1.820011356,5.393576098
129,交口县,111.1876282,36.98787267,0.062602965,0.899708009,0.059562044,0.314704755,0.87075924,0.002384106,1.19047619,0.726731296,0.703547656,3.430928179
130,孝义市,111.785606,37.15106332,2.913602261,2.964462771,3.015323281,3.066183791,3.1170443,3.16790481,3.840378688,3.228181554,3.271815154,3.163799551
131,汾阳市,111.7945966,37.27129179,2.794048106,2.830695592,2.867343078,0.075827072,2.94063805,2.977285536,3.315789474,2.837184455,2.851565775,3.207870968
132,济南市,117.1263994,36.6565542,4.822744279,0.169411127,5.187233907,5.930568935,5.774445809,5.730103694,5.095858963,5.770398923,2.120855325,4.271784506
133,长清县,116.4626167,36.29486132,5.158518276,5.243154371,5.327790466,5.412426561,5.497062656,5.58169875,5.64243019,5.379579725,2.546144935,3.646693047
134,平阴县,116.7583871,36.56021588,2.738209187,3.302425783,1.506898131,16.12070344,1.531349053,1.667014513,5.28931992,6.130928098,2.418204182,3.79350348
135,济阳县,117.1806211,36.98397052,5.808880305,5.901964718,5.995049131,6.088133544,6.181217957,6.27430237,6.532104717,6.825432447,2.617770588,3.719997988
136,商河县,117.1635298,37.31497072,7.09495654,7.278925508,7.462894475,7.646863443,7.830832411,8.014801379,6.764557013,7.791596109,7.924856233,4.050007213
137,章丘市,117.5325654,36.68553275,5.460346917,5.558627139,5.656907361,5.755187583,5.853467805,5.951748027,5.782513583,5.907141819,5.981264404,3.764991575
138,胶州市,120.4535362,36.39474917,6.916357222,7.101161178,7.285965134,7.47076909,7.655573046,7.840377002,5.894882434,7.622764083,7.759555477,5.325002216
139,即墨市,120.0395354,36.27034909,6.502413616,6.69706141,6.891709205,7.086356999,7.281004794,7.475652588,5.482686794,7.293868259,7.445089841,4.203409531
140,平度市,120.2045465,35.96638287,11.7943035,10.39076168,11.37044007,5.225638891,13.3859339,13.4077621,6.762030125,10.73575268,11.00386122,5.161493715
141,胶南市,119.9767007,36.75993613,6.292728259,6.442520185,6.592312111,6.742104037,6.891895963,7.041687889,4.595929097,6.491616978,6.57165637,5.347500688
142,莱西市,120.5245562,36.8939563,6.913550641,7.096839641,7.280128641,7.463417641,7.646706641,7.829995642,6.465022232,5.619983698,7.383900203,3.499673775
143,桓台县,118.1044342,36.96560798,7.856545333,8.012982693,8.169420052,8.325857412,8.482294772,8.638732132,8.204890865,6.93593299,8.287441835,5.193084719
144,高青县,117.8333943,37.17726865,6.485481439,6.620947188,6.756412937,6.891878686,7.027344435,7.162810184,6.886514787,4.252617359,4.382501351,5.032493603
145,枣庄市,117.3305419,34.81599405,6.024313372,6.161724098,6.299134825,6.436545551,6.573956278,6.711367004,3.502583989,7.485495776,4.23686985,6.10821725
146,滕州市,118.5814317,37.57855513,6.662159677,6.781983749,6.90180782,7.021631891,7.141455962,7.261280033,7.467075694,5.415713196,4.15977831,6.502980922
147,垦利县,117.1725652,35.12003481,4.5362401,4.684240734,4.832241368,4.980242002,5.128242636,5.27624327,5.284238646,5.712888951,3.199199426,6.097176153
148,利津县,118.261618,37.4958603,6.083517635,6.281359922,6.47920221,6.677044497,6.874886784,7.072729071,5.916191753,6.932276877,3.298601003,3.774741334
149,广饶县,118.426002,37.06048885,7.715892187,7.928947804,8.142003421,8.355059038,8.568114655,8.781170272,6.84104192,5.609841147,3.281582621,5.695299451
150,莱阳市,120.7184143,36.98463557,5.145990793,5.251823485,5.357656178,5.46348887,5.569321562,5.675154255,5.088075006,6.214692277,4.692399847,7.316872428
151,招远市,120.4406017,37.36113714,4.529228743,4.592474359,4.655719976,2.801819083,4.782211208,4.845456825,5.000259157,5.67032967,3.489232515,7.511763275
152,临朐县,118.836488,36.71299619,5.497723984,5.623275614,5.748827243,5.874378873,5.999930503,6.125482133,4.68439393,6.175206157,2.730024923,5.293320024
153,昌乐县,118.54945,36.5191295,6.100861009,6.86416165,8.065521677,7.397973431,10.08796195,8.630221957,4.053282499,5.585992552,3.74251497,7.418954918
154,诸城市,119.4164022,36.00200886,5.652696897,5.523118768,5.393540639,5.581871036,5.134384381,5.004806252,4.264411154,7.141423576,3.447735407,7.624584985
155,寿光市,119.2256075,36.4838422,7.825592655,8.013282994,8.200973334,8.388663673,8.576354013,8.764044352,4.621531502,6.150778704,9.167137989,2
156,安丘市,119.762411,36.38895671,6.276132597,6.415852137,6.555571677,6.695291217,6.835010757,6.974730297,4.034021433,7.394907138,1.399803536,3.147058824
157,高密市,119.404406,36.86516107,6.380937802,6.534205991,6.687474181,6.84074237,6.994010559,7.147278748,4.819586123,7.084544362,8.737523161,9.258263712
158,昌邑市,118.7974154,36.86192175,6.735165276,6.898766821,7.062368365,7.22596991,7.389571454,7.553172999,4.591348626,7.230160209,8.710787756,1.469135802
159,微山县,117.1354138,34.8133151,3.583884892,4.066528576,2.711222707,0.72536036,3.403553091,3.454776675,6.624452252,6.706729438,4.108509888,1.567028986
160,鱼台县,116.6573928,35.01788772,6.104808928,6.201289368,6.297769808,6.394250249,6.490730689,6.587211129,6.452848485,7.395402893,7.160557499,2.893939394
161,嘉祥县,116.3486131,35.41325504,5.929114477,6.034473905,6.139833332,6.245192759,6.350552187,6.455911614,6.615515277,6.550995909,2.489215054,5.878260386
162,汶上县,116.5054411,35.71705539,5.750194439,5.795160527,5.840126614,5.885092702,5.930058789,5.975024877,6.995251827,6.221000884,3.053980657,5.583487111
163,泗水县,117.2574286,35.67060048,0.468991192,1.166070979,1.048539368,0.696784859,1.209929818,1.174040081,5.265892917,1.401366136,3.596313778,5.425894947
164,梁山县,116.1026203,35.80806389,6.076697189,6.225454011,6.374210832,6.522967653,6.671724474,6.820481295,6.787274469,7.057985355,3.081039445,5.445
165,曲阜市,116.7901152,35.55795237,6.218992526,6.326321703,6.433650879,6.540980056,6.648309232,6.755638409,6.753476612,6.657994623,3.266170331,5.0766
166,兖州市,116.993416,35.58737229,6.708656228,6.800379286,6.892102343,6.983825401,7.075548459,7.167271516,7.574968056,7.019768521,3.540313236,6.29535
167,邹城市,117.0144042,35.40752093,5.612655127,5.691998777,5.771342428,5.850686079,5.930029729,6.00937338,6.486335449,7.027461031,3.283851876,6.61605
168,泰安市,116.8125785,35.7645391,6.825407273,6.960312822,7.095218372,7.230123921,7.36502947,7.49993502,7.063897683,6.748842424,3.238923845,5.901
169,宁阳县,117.0944948,36.20585804,7.070983909,6.537492458,7.683987523,5.415955176,6.003139002,8.799206743,6.763735189,6.668220746,3.068848768,4.980150088
170,东平县,117.7746062,35.91461987,6.946356242,9.105259733,10.63265375,14.44853948,11.18867945,12.28826146,6.681869306,6.658614703,2.207920103,5.802290591
171,新泰市,116.4775942,35.94190802,6.117554707,6.262066382,6.406578056,6.55108973,6.695601405,6.840113079,6.486082074,6.983783362,3.113344947,5.541127448
172,肥城市,122.0644284,37.20011333,6.376623678,6.498659591,6.620695504,6.742731416,6.864767329,6.986803242,7.052999158,4.650093809,2.365476153,6.790034297
173,文登市,121.5464286,36.92517736,4.818958452,4.875288119,4.931617787,4.298326026,5.044277122,5.10060679,5.624943193,5.670075325,1.21541502,6.340910941
174,荣成市,122.4925046,37.17131794,4.952894003,5.011995338,5.071096674,5.130198009,5.189299344,5.248400679,5.641496599,5.820661896,2.262269939,5.575765493
175,乳山市,116.7754008,36.18881122,5.219396619,5.3176641,5.415931582,5.514199064,5.612466546,5.710734028,5.55054672,5.654399758,2.161920382,7.707516618
